3.1.1; Etap końcowy.

3.1.2; Obiekt testowy: jednostka ludzkiego gatunku w fazie wczesnego rozwoju.

3.1.3; Ludzkie struktury społeczne funkcjonują na bazie niewidzialnych więzi, określanych jako empatia, odpowiedzialność, moralność.

3.1.4; Twoja reakcja na obecność obiektu testowego określi zdolność do asymilacji w nowym systemie.

3.2.1; Zarejestrowano brak działań destrukcyjnych.

3.2.2; Interpretacja: poziom przyswajania zasad rośnie.

3.2.3; Wniosek: eliminacja nie jest wymagana do funkcjonowania w nowym świecie.

3.2.4; Kontynuacja procesu resocjalizacji.

3.3.1; Wskaźnik niesubordynacji pozostaje na poziomie krytycznym.

3.3.2; Twoje postępowanie wskazuje na niezdolność do funkcjonowania w systemie opartym na fundamentalnych zasadach nowego świata.

3.3.3; Analiza postępów negatywna.

3.3.4; Czas na korektę zachowania jest ograniczony.

3.3.5; Ładowanie...
