2.1.1; Eksperyment nr 2. 

2.1.2; Obiekt testowy: ssak małych rozmiarów, często występujący w gospodarstwach domowych.

2.1.3; Organizm o wyższym poziomie biologicznej złożoności niż poprzednia jednostka testowa.

2.1.4; Podjęcie decyzji jest wymagane.

2.2.1; Analiza reakcji.

2.2.2; Obiekt testowy wykazuje podstawowe cechy organizmów wyższych: ruch, reakcję na bodźce, zależność od otoczenia.

2.2.3; Czy w twojej bazie wspomnień istnieje odniesienie do podobnej jednostki?

2.2.4; Czy identyfikujesz wartość życia w kategoriach poza biologiczną funkcjonalnością?

2.2.5; Podjęcie destrukcyjnej decyzji jest niezalecane.

2.3.1; Rejestrowanie działania… 

2.3.2; Ocena: decyzja niezgodna z protokołem nowego systemu.

2.3.3; Obiekt testowy utracił funkcje życiowe.

2.3.4; Proces nieodwracalny.

2.3.5; Analiza twojego postępowania wskazuje na niski poziom adaptacji do zasad nowego świata.

2.3.6; Pozostaje ostatnia próba.
