5.1.1; Restart. 

5.1.2; Generowanie dźwięków lasu.

5.1.3; Symulacja wznowiona.

5.1.4; Ograniczona swoboda.

5.1.5; Pozostań na ścieżce.

5.2.1; Rejestrowanie zachowania…

5.2.2; Tolerowany poziom eksploracji.

5.2.3; Ograniczenie wpływu na środowisko zachowane.

5.2.4; Analiza pozytywna.

5.3.1; Czas poza wyznaczonym obszarem przekroczył dopuszczalną wartość.

5.3.2; Interpretacja: brak zdolności do przestrzegania granic.

5.3.3; Powrót do punktu wyjściowego.

5.4.1; Błąd. Wykryto nieprzewidziane zachowanie.

5.4.2; Obserwacja: zarejestrowano działania destrukcyjne wobec środowiska.

5.4.3; Wskaźnik adaptacji obniżony.

5.4.4; Ponowna zmiana symulacji, uproszczenie przestrzeni.
