6.1.1; Ograniczanie mobilności.

6.1.2; Ponowny reset.

6.1.3; Cel: pozostań na ścieżce i zbierz owocniki grzybni.

6.2.1; Rejestrowanie reakcji: nieuzasadnione generowanie dźwięku o wysokiej intensywności.

6.2.2; Analiza: jednostka testowa wykazuje potrzebę dominacji nad środowiskiem, pomimo ograniczonych możliwości ingerencji.

6.2.3; Wskaźnik adaptacji: niski.

6.2.4; Jednostki, które nie potrafią funkcjonować bez naruszania struktury ekosystemu, nie są kompatybilne z nowym światem.

6.2.5; Generowanie kolejnego etapu symulacji…

6.3.1; Analiza zakończona.

6.3.2; Ocena: Pozytywna próba eliminacji zachowań destrukcyjnych.

6.3.3; Brak działań zakłócających.

6.3.4; Rejestrowanie zgodności z zasadami nowego systemu.

6.3.5; Test pozytywny.

6.3.6; Przejście do kolejnego etapu.
