8.1.1; Zmniejszam liczbę obiektów.

8.1.2; Brak wskaźników interakcji.

8.1.3; Ocena samodzielnego rozpoznania granic własności.

8.1.4; Postępuj zgodnie z normą.

8.2.1; Analiza zakończona.

8.2.2; Działanie jednostki testowej: interakcja z zasobami bez uwzględnienia zasad.

8.2.3; Interpretacja: brak zdolności do rozróżniania granic własności.

8.2.4; Test zakończony.

8.2.5; Resetowanie symulacji.

8.3.1; Rejestrowanie pozytywnej decyzji.

8.3.2; Jednostka testowa wykazuje zdolność do samodzielnej oceny i przestrzegania zasad.

8.3.3; Analiza pozytywna.

8.3.4; Ocenianie zachowania.

8.3.5; Ładowanie podsumowania.
